BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
16/01/2014,941.219971,955.530029,910.5,913.48999,913.48999,4720008,16/01/2014,0,0,0,0,0,0,16/01/2014,0,0,0,0,0,0,16/01/2014,24.52,25.370001,24.01,24.01,24.01,1748
17/01/2014,913.48999,929.75,867.219971,894.159973,894.159973,9203107,17/01/2014,0,0,0,0,0,0,17/01/2014,0,0,0,0,0,0,17/01/2014,24.01,24.99,23.27,24,24,2426
18/01/2014,894.159973,924.73999,884.73999,905.719971,905.719971,5493742,18/01/2014,0,0,0,0,0,0,18/01/2014,0,0,0,0,0,0,18/01/2014,24,24.99,23.5,24.940001,24.940001,12878
19/01/2014,905.719971,958.070007,901.880005,954.799988,954.799988,7071649,19/01/2014,0,0,0,0,0,0,19/01/2014,0,0,0,0,0,0,19/01/2014,24.940001,24.940001,23.35,24.9,24.9,320
20/01/2014,954.799988,980.539978,925.960022,955.950012,955.950012,9981282,20/01/2014,0,0,0,0,0,0,20/01/2014,0,0,0,0,0,0,20/01/2014,24.9,24.9,24.280001,24.280001,24.280001,519
21/01/2014,955.950012,974.25,943.179993,962.210022,962.210022,6289022,21/01/2014,0,0,0,0,0,0,21/01/2014,0,0,0,0,0,0,21/01/2014,24.280001,25.5,23.5,25.49,25.49,4143
22/01/2014,962.210022,973.940002,934.950012,950.950012,950.950012,4503428,22/01/2014,0,0,0,0,0,0,22/01/2014,0,0,0,0,0,0,22/01/2014,25.49,25.49,22.389999,23,23,1259
23/01/2014,950.950012,958.059998,936.27002,944.159973,944.159973,1839615,23/01/2014,0,0,0,0,0,0,23/01/2014,0,0,0,0,0,0,23/01/2014,23,23.73,22.299999,22.299999,22.299999,2821
24/01/2014,944.159973,949.52002,902.890015,916.549988,916.549988,5684047,24/01/2014,0,0,0,0,0,0,24/01/2014,0,0,0,0,0,0,24/01/2014,22.299999,22.889999,20.5,21.049999,21.049999,6188
25/01/2014,916.549988,978.409973,915.859985,961.049988,961.049988,7797108,25/01/2014,0,0,0,0,0,0,25/01/2014,0,0,0,0,0,0,25/01/2014,21.049999,22.35,20.290001,22.26,22.26,2899
26/01/2014,961.049988,1038.060059,950.659973,1007,1007,13054605,26/01/2014,0,0,0,0,0,0,26/01/2014,0,0,0,0,0,0,26/01/2014,22.26,24,22,22.34,22.34,7269
27/01/2014,1007,1021.450012,937.22998,943.539978,943.539978,8052715,27/01/2014,0,0,0,0,0,0,27/01/2014,0,0,0,0,0,0,27/01/2014,22.34,23.5,20.780001,20.780001,20.780001,9919
28/01/2014,943.539978,972.609985,911.650024,932.679993,932.679993,9757613,28/01/2014,0,0,0,0,0,0,28/01/2014,0,0,0,0,0,0,28/01/2014,20.780001,23,20.290001,22.879999,22.879999,1833
29/01/2014,932.679993,950.559998,918.859985,925.669983,925.669983,5254878,29/01/2014,0,0,0,0,0,0,29/01/2014,0,0,0,0,0,0,29/01/2014,22.879999,22.879999,20.629999,21.700001,21.700001,2131
30/01/2014,925.669983,953.23999,909.460022,941.390015,941.390015,5026461,30/01/2014,0,0,0,0,0,0,30/01/2014,0,0,0,0,0,0,30/01/2014,21.700001,21.99,20.620001,20.719999,20.719999,190
31/01/2014,941.390015,954.710022,924.590027,938.849976,938.849976,4024749,31/01/2014,0,0,0,0,0,0,31/01/2014,0,0,0,0,0,0,31/01/2014,20.719999,21.610001,20.719999,21.59,21.59,1109
1/02/2014,938.849976,969.190002,927.799988,940.419983,940.419983,4118865,1/02/2014,0,0,0,0,0,0,1/02/2014,0.002,0.002,0.001999,0.001999,0.001999,2,1/02/2014,21.59,22.66,21.299999,21.459999,21.459999,703
2/02/2014,940.419983,959.380005,934.409973,953.309998,953.309998,1495327,2/02/2014,0,0,0,0,0,0,2/02/2014,0.001999,0.001999,0.001999,0.001999,0.001999,2,2/02/2014,21.459999,21.870001,21.459999,21.870001,21.870001,246
3/02/2014,953.309998,959.580017,931.669983,931.710022,931.710022,2601784,3/02/2014,0,0,0,0,0,0,3/02/2014,0.001999,0.001999,0.00182,0.00182,0.00182,20,3/02/2014,21.870001,21.870001,21.41,21.41,21.41,99
4/02/2014,931.710022,949.099976,900.76001,926.640015,926.640015,4250751,4/02/2014,0,0,0,0,0,0,4/02/2014,0.00182,0.0019,0.000982,0.0019,0.0019,3,4/02/2014,21.41,21.65,21.01,21.07,21.07,1402
5/02/2014,926.640015,939.75,890.049988,904.52002,904.52002,6865987,5/02/2014,0,0,0,0,0,0,5/02/2014,0.0019,0.0019,0.00124,0.00189,0.00189,5,5/02/2014,21.07,21.700001,21,21.200001,21.200001,3248
6/02/2014,904.52002,908.77002,800.929993,828.869995,828.869995,15719958,6/02/2014,0,0,0,0,0,0,6/02/2014,0.00189,0.00189,0.001,0.00189,0.00189,1,6/02/2014,21.200001,21.549999,19.799999,19.799999,19.799999,1066
7/02/2014,828.869995,833.070007,651.72998,695.650024,695.650024,36412212,7/02/2014,0,0,0,0,0,0,7/02/2014,0.00189,0.00189,0.00188,0.00188,0.00188,0,7/02/2014,19.799999,20,17.200001,18.889999,18.889999,1864
8/02/2014,695.650024,719.26001,632.080017,648.780029,648.780029,15503790,8/02/2014,0,0,0,0,0,0,8/02/2014,0.00188,0.001999,0.001,0.001,0.001,17,8/02/2014,18.889999,20.290001,17.5,17.5,17.5,3435
9/02/2014,648.780029,694.119995,622.530029,659.570007,659.570007,13186251,9/02/2014,0,0,0,0,0,0,9/02/2014,0.001,0.0019,0.001,0.001,0.001,3,9/02/2014,17.5,19.809999,17,18.700001,18.700001,1778
10/02/2014,659.570007,700.039978,500.040009,582.630005,582.630005,24334044,10/02/2014,0,0,0,0,0,0,10/02/2014,0.001,0.002,0.001,0.00115,0.00115,19,10/02/2014,18.700001,19.709999,14,17.9,17.9,5280
11/02/2014,582.630005,609.710022,550.219971,578.960022,578.960022,9621820,11/02/2014,0,0,0,0,0,0,11/02/2014,0.00115,0.0018,0.00031,0.0015,0.0015,32,11/02/2014,17.9,19.690001,15.7,16.299999,16.299999,5503
12/02/2014,578.960022,585.119995,511.899994,531.130005,531.130005,11628634,12/02/2014,0,0,0,0,0,0,12/02/2014,0.0015,0.0018,0.000033,0.000033,0.000033,23,12/02/2014,16.299999,19.49,16.299999,19.49,19.49,490
13/02/2014,531.130005,549.200012,451.329987,451.440002,451.440002,14394464,13/02/2014,0,0,0,0,0,0,13/02/2014,0.000033,0.0018,0.000033,0.0017,0.0017,29,13/02/2014,19.49,19.49,16.379999,16.42,16.42,2990
14/02/2014,451.440002,500.029999,302.179993,427.679993,427.679993,25084223,14/02/2014,0,0,0,0,0,0,14/02/2014,0.0017,0.0017,0.0015,0.0015,0.0015,0,14/02/2014,16.42,16.84,14.37,16.76,16.76,1355
15/02/2014,427.679993,447.940002,310.079987,371.070007,371.070007,18299075,15/02/2014,0,0,0,0,0,0,15/02/2014,0.0015,0.0015,0.0005,0.0005,0.0005,0,15/02/2014,16.76,16.76,16.280001,16.280001,16.280001,22
16/02/2014,371.070007,540.030029,220.369995,299.799988,299.799988,26267622,16/02/2014,0,0,0,0,0,0,16/02/2014,0.0005,0.00439,0.0005,0.00185,0.00185,41,16/02/2014,16.280001,16.280001,15.23,15.23,15.23,178
17/02/2014,299.799988,411.209991,263.359985,272.279999,272.279999,16532226,17/02/2014,0,0,0,0,0,0,17/02/2014,0.00185,0.002,0.00185,0.002,0.002,1,17/02/2014,15.23,15.76,15.23,15.76,15.76,385
18/02/2014,272.279999,370.119995,248.309998,293.950012,293.950012,14130126,18/02/2014,0,0,0,0,0,0,18/02/2014,0.002,0.002,0.002,0.002,0.002,0,18/02/2014,15.76,17.280001,15.63,17.280001,17.280001,900
19/02/2014,293.950012,308.630005,257.23999,261.529999,261.529999,8618299,19/02/2014,0,0,0,0,0,0,19/02/2014,0.002,0.002,0.00075,0.00075,0.00075,0,19/02/2014,17.280001,17.41,15.81,15.83,15.83,134
20/02/2014,261.529999,271.609985,109.220001,111.919998,111.919998,16608347,20/02/2014,0,0,0,0,0,0,20/02/2014,0.00075,0.0019,0.00075,0.0019,0.0019,5,20/02/2014,15.83,17.200001,14.35,15.95,15.95,3719
21/02/2014,111.919998,160.149994,91.660004,111.559998,111.559998,10115923,21/02/2014,0,0,0,0,0,0,21/02/2014,0.0019,0.0019,0.000197,0.001599,0.001599,11,21/02/2014,15.95,15.95,14.34,14.89,14.89,1798
22/02/2014,111.559998,290.589996,96.720001,255.589996,255.589996,11838225,22/02/2014,0,0,0,0,0,0,22/02/2014,0.001599,0.001599,0.0007,0.0007,0.0007,0,22/02/2014,14.89,15.63,13.32,13.32,13.32,461
23/02/2014,255.589996,349.149994,220.309998,310.170013,310.170013,11158706,23/02/2014,0,0,0,0,0,0,23/02/2014,0.0007,0.0007,0.000155,0.000155,0.000155,0,23/02/2014,13.32,16.620001,13.32,15,15,1700
24/02/2014,310.170013,316.880005,131.850006,174,174,17929284,24/02/2014,0,0,0,0,0,0,24/02/2014,0.000155,0.000155,0.000155,0.000155,0.000155,0,24/02/2014,15,15.93,14.21,15.22,15.22,1859
25/02/2014,174,174.639999,102.330002,135.779999,135.779999,3993023,25/02/2014,0,0,0,0,0,0,25/02/2014,0.000155,0.000155,0.000155,0.000155,0.000155,0,25/02/2014,15.22,15.22,11.13,14.42,14.42,8630
26/02/2014,135.779999,650,522.840027,593.140015,593.140015,383571,26/02/2014,0,0,0,0,0,0,26/02/2014,0.000155,0.00189,0.000155,0.00189,0.00189,0,26/02/2014,14.42,16.610001,14.13,15.85,15.85,9672
